date,holiday
2023-01-01,New Year’s Day
2023-01-02,New Year Holiday (in lieu)
2023-01-26,Australia Day
2023-04-07,Good Friday
2023-04-08,Easter Saturday
2023-04-09,Easter Sunday
2023-04-10,Easter Monday
2023-04-25,Anzac Day
2023-05-01,Labour Day
2023-08-16,Ekka Wednesday
2023-10-02,King’s Birthday
2023-12-24,Christmas Eve (half-day)
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year’s Day
2024-01-26,Australia Day
2024-03-29,Good Friday
2024-03-30,Easter Saturday
2024-03-31,Easter Sunday
2024-04-01,Easter Monday
2024-04-25,Anzac Day
2024-05-06,Labour Day
2024-08-14,Ekka Wednesday
2024-10-07,King’s Birthday
2024-12-24,Christmas Eve (half-day)
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year’s Day
2025-01-27,Australia Day (observed)
2025-04-18,Good Friday
2025-04-19,Day after Good Friday (Easter Saturday)
2025-04-20,Easter Sunday
2025-04-21,Easter Monday
2025-04-25,Anzac Day
2025-05-05,Labour Day
2025-08-13,Ekka Wednesday
2025-10-06,King’s Birthday
2025-12-24,Christmas Eve (half-day)
2025-12-25,Christmas Day
2025-12-26,Boxing Day
